part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
_NONCE_PAD,UserDefined,30,,,,1.00;1.00;1.00,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
Q1,RBS,,,,,0.40;0.74;0.27,,,,,
ECK120033736,Terminator,,,,,0.56;0.78;0.24,,,,,
P3,RBS,,,,,0.98;0.64;0.15,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
ECK120010818,Terminator,,,,,0.40;0.74;0.27,,,,,
RiboJ60,Ribozyme,,,,,0.40;0.74;0.27,,,,,
RiboJ51,Ribozyme,,,,,0.56;0.78;0.24,,,,,
pTet,Promoter,,,,,0.0;0.0;0.0,,,,,
H1,RBS,,,,,0.56;0.78;0.24,,,,,
YFP_cassette,UserDefined,25,5,,,0.00;0.00;0.00,,,,,
pHlyIIR,Promoter,,,,,0.56;0.78;0.24,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
pLuxStar,Promoter,,,,,0.0;0.0;0.0,,,,,
QacR,CDS,,,,,0.40;0.74;0.27,,,,,
HlyIIR,CDS,,,,,0.56;0.78;0.24,,,,,
pQacR,Promoter,,,,,0.40;0.74;0.27,,,,,
